,title,date
0,"카카오모빌리티, ‘2024년 자율주행 인공지능 챌린지’ 개최",2024.08.27
1,"카카오커머스, 추석 맞이 ‘강추위크’ 진행",2024.08.26
2,"카카오, ‘제12회 브런치북 출판 프로젝트’ 개최",2024.08.26
3,카카오브레인 역사 속으로…디케이테크인에 흡수합병,2024.08.23
4,"'티메프 여파'…카카오, 본죽·할리스 기프티콘 환불",2024.08.23
5,"'티메프 여파' 카카오 선물하기, 엠트웰브와 계약 해지…'할리스·본죽' 등 기프티콘 환불",2024.08.23
6,"카카오모빌리티, 제천 레스트리 리솜 리조트에 로봇 배송 서비스 ‘브링’ 도입",2024.08.21
7,"""내가 받은 기프티콘도 못 쓰는 거 아냐?"" '티메프 사태' 불똥 카카오 선물하기까지 튀었다",2024.08.20
8,"카카오, '대한민국 한 바퀴 챌린지' 도전자 모집",2024.08.19
9,"카카오 ""카톡·AI 집중""…헤어샵 등 사업 정리",2024.08.18
10,"카카오게임즈, ‘2024 유스 e-스포츠 페스티벌’ 장학금 및 물품 후원",2024.08.16
11,"""카톡 사칭 사기 막는다""…카카오, '페이크 시그널' 기능 도입",2024.08.14
12,"""국민 신뢰·사랑 받을 것""…카카오, 공정거래 자율준수 프로그램 도입",2024.08.14
13,"카카오, 카카오톡에 ‘페이크 시그널’ 기능 도입",2024.08.14
14,"카카오게임즈, 오션드라이브 신작 '로스트 아이돌론스'·'섹션13' 퍼블리싱 계약",2024.08.13
15,"카카오엔터, 반년새 불법물 2억7000만건 삭제…불법사이트도 폐쇄",2024.08.13
16,"카카오모빌리티, 택시 기사 가족 대상 코딩 교육 캠프 ‘주니어랩 2기’ 진행",2024.08.12
17,"카카오, 단골시장 ‘우수시장 조성’ 발대식",2024.08.09
18,카톡처럼…카카오 '대화형AI' 연내 출시,2024.08.08
19,"카카오 ""카톡·AI 관련 없으면 비핵심 사업…하반기 효율화 작업 속도감 있게 진행""",2024.08.08
20,"카카오 ""하반기 B2C 기반 대화형 AI 서비스 선보일 것""",2024.08.08
21,"카카오모빌리티, 현대엘리베이터와 ‘로봇플랫폼·승강기 연동 표준 기반 서비스 고도화’ MOU",2024.08.08
22,카카오 2분기 영업익 1340억원…전년 比 18%↑,2024.08.08
23,"카카오, ‘2024 카카오 클래스’ 심화과정 참가자 모집 ?",2024.08.07
24,"카카오게임즈 ""3분기부터 비핵심 사업·프로젝트 정리…기업가치 제고 최우선""",2024.08.07
25,카카오표 DX 과외 '단골거리' 소상공인 디지털 소외 지웠다,2024.08.07
26,"카카오게임즈, 2700억원 규모 교환사채 발행",2024.08.06
27,"카카오, 스타벅스와 업무협약…톡학생증 전용 혜택 확대",2024.08.06
28,"카카오같이가치, ‘815를 기억하는 모두의행동' 이벤트",2024.08.06
29,"카카오헬스케어, 글로벌 ‘연구 협력 네트워크’ 17개 병원으로 확대",2024.08.05
30,"'라춘도 쬬비치'에서 물놀이를…카카오, 2024 서울썸머비치 참여",2024.08.02
31,"MS사태 재현 막으려면…카카오엔터프라이즈 ""멀티·소버린 도입"" 제시",2024.08.01
32,"""일상서 필요한 장소 정보 쉽고 빠르게""…카카오맵, 장소상세 서비스 개편",2024.08.01
33,"카카오게임즈, RTS 스톰게이트 얼리액세스 출시…스타2·워크3 제작진 개발 게임",2024.07.31
34,티메프 사태에 네이버웹툰·카카오페이지 해피머니 결제 막혀,2024.07.26
35,"카카오 비상경영…정신아, 총수 공백 메운다",2024.07.25
36,"전국 날씨를 한눈에…카카오, '다음 날씨 서비스' 새 단장",2024.07.25
37,[속보] 카카오 비상경영체제 돌입…정신아 대표가 경영쇄신위원장 대행,2024.07.25
38,"'인재·신사업·본원 경쟁력' 강화…카카오, 제2혁신 나서야",2024.07.24
39,"카카오 ""경영공백 최소화""…정신아 역할 커진다",2024.07.23
40,"檢, 시세조종 외 3개 수사도 속도…카카오 '성장시계' 멈춘다",2024.07.23
41,쿠팡도 통신장애 관리 의무 진다…카카오는 데이터센터 규제,2024.07.23
42,카카오 김범수 구속 심사…취재진 질문에는 침묵,2024.07.22
43,"""사법 리스크에 발목""…카카오 AI혁신 위기",2024.07.21
44,"카카오헬스케어 혈당관리 앱, 삼성·애플 건강앱과 연동",2024.07.20
45,"카카오모빌리티, 국제교통포럼과 '기업협력이사회 멤버십 연장' 업무협약",2024.07.19
46,"카카오 김범수 ""시세조종 혐의 사실 아냐…불법행위 용인한적 없어""",2024.07.18
47,카카오톡 접속 오류…고용24·워크넷·고용보험은 먹통,2024.07.18
48,"구속 기로에 선 김범수…카카오, 경영쇄신·신사업 '시계제로'",2024.07.17
