Date,Open,Change
2000-02-11,54600.0,0.0
2000-02-14,52800.0,-1800.0
2000-02-15,50000.0,-2800.0
2000-02-16,42000.0,-8000.0
2000-02-17,49200.0,7200.0
2000-02-18,50100.0,900.0
2000-02-21,42000.0,-8100.0
2000-02-22,43000.0,1000.0
2000-02-23,37400.0,-5600.0
2000-02-24,39800.0,2400.0
2000-02-25,43900.0,4100.0
2000-02-28,38000.0,-5900.0
2000-02-29,38200.0,200.0
2000-03-02,38000.0,-200.0
2000-03-03,31600.0,-6400.0
2000-03-06,33000.0,1400.0
2000-03-07,28300.0,-4700.0
2000-03-08,29600.0,1300.0
2000-03-09,32800.0,3200.0
2000-03-10,37000.0,4200.0
2000-03-13,35400.0,-1600.0
2000-03-14,28600.0,-6800.0
2000-03-15,28000.0,-600.0
2000-03-16,29000.0,1000.0
2000-03-17,28600.0,-400.0
2000-03-20,25000.0,-3600.0
2000-03-21,20400.0,-4600.0
2000-03-22,23000.0,2600.0
2000-03-23,23900.0,900.0
2000-03-24,22700.0,-1200.0
2000-03-27,22200.0,-500.0
2000-03-28,23200.0,1000.0
2000-03-29,22000.0,-1200.0
2000-03-30,19300.0,-2700.0
2000-03-31,22300.0,3000.0
2000-04-03,21000.0,-1300.0
2000-04-04,18400.0,-2600.0
2000-04-06,17600.0,-800.0
2000-04-07,18800.0,1200.0
2000-04-10,21600.0,2800.0
2000-04-11,20100.0,-1500.0
2000-04-12,19400.0,-700.0
2000-04-14,18000.0,-1400.0
2000-04-17,15040.0,-2960.0
2000-04-18,15420.0,380.0
2000-04-19,14040.0,-1380.0
2000-04-20,13400.0,-640.0
2000-04-21,12920.0,-480.0
2000-04-24,13960.0,1040.0
2000-04-25,11820.0,-2140.0
2000-04-26,12860.0,1040.0
2000-04-27,11500.0,-1360.0
2000-04-28,10800.0,-700.0
2000-05-02,10820.0,20.0
2000-05-03,11980.0,1160.0
2000-05-04,12540.0,560.0
2000-05-08,13220.0,680.0
2000-05-10,11700.0,-1520.0
2000-05-12,11180.0,-520.0
2000-05-15,10000.0,-1180.0
2000-05-16,9170.0,-830.0
2000-05-17,10620.0,1450.0
2000-05-18,9000.0,-1620.0
2000-05-19,9900.0,900.0
2000-05-22,10800.0,900.0
2000-05-23,10600.0,-200.0
2000-05-24,11980.0,1380.0
2000-05-25,13000.0,1020.0
2000-05-26,13380.0,380.0
2000-05-29,13200.0,-180.0
2000-05-31,15480.0,2280.0
2000-06-01,16120.0,640.0
2000-06-02,16560.0,440.0
2000-06-05,16620.0,60.0
2000-06-07,17800.0,1180.0
2000-06-08,20800.0,3000.0
2000-06-09,21000.0,200.0
2000-06-12,19800.0,-1200.0
2000-06-13,19000.0,-800.0
2000-06-14,18860.0,-140.0
2000-06-15,17800.0,-1060.0
2000-06-16,15400.0,-2400.0
2000-06-19,18200.0,2800.0
2000-06-20,17340.0,-860.0
2000-06-21,17020.0,-320.0
2000-06-22,18000.0,980.0
2000-06-23,16600.0,-1400.0
2000-06-26,17600.0,1000.0
2000-06-27,20500.0,2900.0
2000-06-28,20000.0,-500.0
2000-06-29,23400.0,3400.0
2000-06-30,20600.0,-2800.0
2000-07-03,21200.0,600.0
2000-07-04,20400.0,-800.0
2000-07-05,19200.0,-1200.0
2000-07-06,17000.0,-2200.0
2000-07-07,18020.0,1020.0
2000-07-10,17240.0,-780.0
2000-07-11,17100.0,-140.0
2000-07-12,16020.0,-1080.0
2000-07-13,18000.0,1980.0
2000-07-14,17980.0,-20.0
2000-07-18,17600.0,-380.0
2000-07-19,17600.0,0.0
2000-07-20,14040.0,-3560.0
2000-07-21,14220.0,180.0
2000-07-24,13420.0,-800.0
2000-07-25,13480.0,60.0
2000-07-26,15520.0,2040.0
2000-07-27,14700.0,-820.0
2000-07-28,13700.0,-1000.0
2000-07-31,12200.0,-1500.0
2000-08-01,14420.0,2220.0
2000-08-02,14080.0,-340.0
2000-08-03,14340.0,260.0
2000-08-04,14600.0,260.0
2000-08-07,13700.0,-900.0
2000-08-08,13360.0,-340.0
2000-08-09,13460.0,100.0
2000-08-10,13880.0,420.0
2000-08-11,13400.0,-480.0
2000-08-14,13240.0,-160.0
2000-08-16,13080.0,-160.0
2000-08-17,13020.0,-60.0
2000-08-18,12600.0,-420.0
2000-08-21,11800.0,-800.0
2000-08-22,11220.0,-580.0
2000-08-23,12440.0,1220.0
2000-08-24,12000.0,-440.0
2000-08-25,12000.0,0.0
2000-08-28,13340.0,1340.0
2000-08-29,14740.0,1400.0
2000-08-30,14060.0,-680.0
2000-08-31,14100.0,40.0
2000-09-01,13840.0,-260.0
2000-09-04,14100.0,260.0
2000-09-05,14100.0,0.0
2000-09-06,14000.0,-100.0
2000-09-07,13860.0,-140.0
2000-09-08,13800.0,-60.0
2000-09-14,14020.0,220.0
2000-09-15,14000.0,-20.0
2000-09-18,13060.0,-940.0
2000-09-19,11820.0,-1240.0
2000-09-20,12700.0,880.0
2000-09-21,12000.0,-700.0
2000-09-22,11600.0,-400.0
2000-09-25,10720.0,-880.0
2000-09-26,10780.0,60.0
2000-09-27,11040.0,260.0
2000-09-28,12060.0,1020.0
2000-09-29,12000.0,-60.0
2000-10-02,11400.0,-600.0
2000-10-04,10800.0,-600.0
2000-10-05,11380.0,580.0
2000-10-06,11240.0,-140.0
2000-10-09,11820.0,580.0
2000-10-10,11200.0,-620.0
2000-10-11,11100.0,-100.0
2000-10-12,9800.0,-1300.0
2000-10-13,9000.0,-800.0
2000-10-17,9310.0,310.0
2000-10-18,8160.0,-1150.0
2000-10-19,8300.0,140.0
2000-10-20,8500.0,200.0
